,zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,providerListingId,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,availabilityDate
291,350343389,350343389,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/321-Evergreen-Park-NW-Edmonton-AB-T5Y-4M2/350343389_zpid/,FOR_SALE,House for sale,C$,"C$112,000",112000,"321 Evergreen Park NW, Edmonton, AB T5Y 4M2",321 Evergreen Park NW,Edmonton,AB,T5Y4M2,False,3,1,1023.0,53.63347,-113.355576,False,False,False,ForSale,For Sale (Broker),False,
292,350091010,350091010,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/15231-81st-St-NW-Edmonton-AB-T5C-3M4/350091010_zpid/,FOR_SALE,House for sale,C$,"C$449,000",449000,"15231 81st St NW, Edmonton, AB T5C 3M4",15231 81st St NW,Edmonton,AB,T5C3M4,False,3,3,1226.0,53.6149,-113.466156,False,False,False,ForSale,For Sale (Broker),False,
293,348823886,348823886,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/1199-Hooke-Rd-NW-Edmonton-AB-T5A-4A5/348823886_zpid/,FOR_SALE,Townhouse for sale,C$,"C$174,900",174900,"1199 Hooke Rd NW, Edmonton, AB T5A 4A5",1199 Hooke Rd NW,Edmonton,AB,T5A4A5,False,3,2,1108.0,53.5838,-113.39451,False,False,False,ForSale,For Sale (Broker),False,
294,2065058343,2065058343,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/4816-146th-Ave-NW-Edmonton-AB-T5Y-2X7/2065058343_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"4816 146th Ave NW, Edmonton, AB T5Y 2X7",4816 146th Ave NW,Edmonton,AB,T5Y2X7,False,6,3,1678.0,53.60935,-113.41425,False,False,False,ForSale,For Sale (Broker),False,
295,2067411555,2067411555,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/109-Londonderry-Sq-NW-Edmonton-AB-T5C-3C4/2067411555_zpid/,FOR_SALE,Townhouse for sale,C$,"C$179,900",179900,"109 Londonderry Sq NW, Edmonton, AB T5C 3C4",109 Londonderry Sq NW,Edmonton,AB,T5C3C4,False,3,2,1156.0,53.609745,-113.443596,False,False,False,ForSale,For Sale (Broker),False,
296,2067381720,2067381720,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/12849-73rd-St-NW-Edmonton-AB-T5C-0T2/2067381720_zpid/,FOR_SALE,House for sale,C$,"C$369,900",369900,"12849 73rd St NW, Edmonton, AB T5C 0T2",12849 73rd St NW,Edmonton,AB,T5C0T2,False,5,2,1123.0,53.587334,-113.453705,False,False,False,ForSale,For Sale (Broker),False,
297,2055105238,2055105238,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11514-92nd-St-NW-Edmonton-AB-T5G-0Z7/2055105238_zpid/,FOR_SALE,House for sale,C$,"C$235,000",235000,"11514 92nd St NW, Edmonton, AB T5G 0Z7",11514 92nd St NW,Edmonton,AB,T5G0Z7,False,2,2,835.0,53.566315,-113.48302,False,False,False,ForSale,For Sale (Broker),False,
298,350518144,350518144,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/12022-44th-St-NW-Edmonton-AB-T5W-2S9/350518144_zpid/,FOR_SALE,House for sale,C$,"C$299,900",299900,"12022 44th St NW, Edmonton, AB T5W 2S9",12022 44th St NW,Edmonton,AB,T5W2S9,False,3,1,834.0,53.5744,-113.409515,False,False,False,ForSale,For Sale (Broker),False,
299,350278259,350278259,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/3227-135a-Ave-NW-Edmonton-AB-T5A-5E3/350278259_zpid/,FOR_SALE,House for sale,C$,"C$479,900",479900,"3227 135a Ave NW, Edmonton, AB T5A 5E3",3227 135a Ave NW,Edmonton,AB,T5A5E3,False,4,4,1704.0,53.59703,-113.39146,False,False,False,ForSale,For Sale (Broker),False,
300,343860191,343860191,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/17915-W-85th-St-NW-Edmonton-AB-T5Z-0C1/343860191_zpid/,FOR_SALE,House for sale,C$,"C$415,900",415900,"17915 W 85th St NW, Edmonton, AB T5Z 0C1",17915 W 85th St NW,Edmonton,AB,T5Z0C1,False,3,3,1374.0,53.641018,-113.4697,False,False,False,ForSale,For Sale (Broker),False,
301,2071049677,2071049677,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11705-94th-St-NW-Edmonton-AB-T5G-1J1/2071049677_zpid/,FOR_SALE,House for sale,C$,"C$250,000",250000,"11705 94th St NW, Edmonton, AB T5G 1J1",11705 94th St NW,Edmonton,AB,T5G1J1,False,2,1,827.0,53.56911,-113.485405,False,False,False,ForSale,For Sale (Broker),False,
302,349449273,349449273,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11816-86th-St-NW-Edmonton-AB-T5B-3K1/349449273_zpid/,FOR_SALE,House for sale,C$,"C$239,900",239900,"11816 86th St NW, Edmonton, AB T5B 3K1",11816 86th St NW,Edmonton,AB,T5B3K1,False,2,1,1125.0,53.57094,-113.47306,False,False,False,ForSale,For Sale (Broker),False,
303,350834596,350834596,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/12228-92nd-St-NW-Edmonton-AB-T5G-1B3/350834596_zpid/,FOR_SALE,House for sale,C$,"C$348,800",348800,"12228 92nd St NW, Edmonton, AB T5G 1B3",12228 92nd St NW,Edmonton,AB,T5G1B3,False,3,2,842.0,53.57752,-113.48292,False,False,False,ForSale,For Sale (Broker),False,
304,347757461,347757461,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/15016-63rd-St-NW-Edmonton-AB-T5A-2B8/347757461_zpid/,FOR_SALE,House for sale,C$,"C$499,000",499000,"15016 63rd St NW, Edmonton, AB T5A 2B8",15016 63rd St NW,Edmonton,AB,T5A2B8,False,5,3,1503.0,53.612095,-113.43927,False,False,False,ForSale,For Sale (Broker),False,
305,349456447,349456447,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11837-61st-St-NW-Edmonton-AB-T5W-4A8/349456447_zpid/,FOR_SALE,House for sale,C$,"C$269,800",269800,"11837 61st St NW, Edmonton, AB T5W 4A8",11837 61st St NW,Edmonton,AB,T5W4A8,False,3,2,872.0,53.571575,-113.434784,False,False,False,ForSale,For Sale (Broker),False,
306,348644506,348644506,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/13450-Fort-Rd-NW-1-Edmonton-AB-T5A-1C5/348644506_zpid/,FOR_SALE,Apartment for sale,C$,"C$124,900",124900,"13450 Fort Rd NW #1, Edmonton, AB T5A 1C5",13450 Fort Rd NW #1,Edmonton,AB,T5A1C5,False,3,2,1258.0,53.59626,-113.42711,False,False,False,ForSale,For Sale (Broker),False,
307,346355345,346355345,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/17115-38th-St-NW-Edmonton-AB-T5Y-3R7/346355345_zpid/,FOR_SALE,House for sale,C$,"C$429,900",429900,"17115 38th St NW, Edmonton, AB T5Y 3R7",17115 38th St NW,Edmonton,AB,T5Y3R7,False,3,3,1388.0,53.633175,-113.40108,False,False,False,ForSale,For Sale (Broker),False,
308,349064014,349064014,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/3308-113th-Ave-NW-132-Edmonton-AB-T5W-5J8/349064014_zpid/,FOR_SALE,Townhouse for sale,C$,"C$219,900",219900,"3308 113th Ave NW #132, Edmonton, AB T5W 5J8",3308 113th Ave NW #132,Edmonton,AB,T5W5J8,False,4,2,1184.0,53.56717,-113.392075,False,False,False,ForSale,For Sale (Broker),False,
309,349482839,349482839,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/356-Northgate-Ter-NW-Edmonton-AB-T5E-3E3/349482839_zpid/,FOR_SALE,Townhouse for sale,C$,"C$175,000",175000,"356 Northgate Ter NW, Edmonton, AB T5E 3E3",356 Northgate Ter NW,Edmonton,AB,T5E3E3,False,2,1,1016.0,53.604248,-113.47594,False,False,False,ForSale,For Sale (Broker),False,
310,2073516124,2073516124,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/6324-132nd-Ave-NW-Edmonton-AB-T5A-0J7/2073516124_zpid/,FOR_SALE,House for sale,C$,"C$289,800",289800,"6324 132nd Ave NW, Edmonton, AB T5A 0J7",6324 132nd Ave NW,Edmonton,AB,T5A0J7,False,3,1,828.0,53.592533,-113.43975,False,False,False,ForSale,For Sale (Broker),False,
311,350327495,350327495,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/2419-133rd-Ave-NW-53-Edmonton-AB-T5A-5A5/350327495_zpid/,FOR_SALE,Townhouse for sale,C$,"C$319,900",319900,"2419 133rd Ave NW #53, Edmonton, AB T5A 5A5",2419 133rd Ave NW #53,Edmonton,AB,T5A5A5,False,3,4,1506.0,53.592907,-113.37769,False,False,False,ForSale,For Sale (Broker),False,
312,2055974258,2055974258,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/17216-68th-St-NW-Edmonton-AB-T5Z-0W3/2055974258_zpid/,FOR_SALE,House for sale,C$,"C$699,980",699980,"17216 68th St NW, Edmonton, AB T5Z 0W3",17216 68th St NW,Edmonton,AB,T5Z0W3,False,4,3,2572.0,53.6339,-113.449776,False,False,False,ForSale,For Sale (Broker),False,
313,348868219,348868219,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/15716-68th-St-NW-Edmonton-AB-T5Z-3A4/348868219_zpid/,FOR_SALE,House for sale,C$,"C$549,000",549000,"15716 68th St NW, Edmonton, AB T5Z 3A4",15716 68th St NW,Edmonton,AB,T5Z3A4,False,4,4,2211.0,53.618973,-113.44678,False,False,False,ForSale,For Sale (Broker),False,
314,349375922,349375922,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/5919-142nd-Ave-NW-Edmonton-AB-T5A-1J4/349375922_zpid/,FOR_SALE,House for sale,C$,"C$425,000",425000,"5919 142nd Ave NW, Edmonton, AB T5A 1J4",5919 142nd Ave NW,Edmonton,AB,T5A1J4,False,3,2,1260.0,53.60409,-113.43348,False,False,False,ForSale,For Sale (Broker),False,
315,2065670016,2065670016,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/12917-87th-St-NW-Edmonton-AB-T5E-3E2/2065670016_zpid/,FOR_SALE,House for sale,C$,"C$549,900",549900,"12917 87th St NW, Edmonton, AB T5E 3E2",12917 87th St NW,Edmonton,AB,T5E3E2,False,6,4,2146.0,53.588207,-113.474014,False,False,False,ForSale,For Sale (Broker),False,
316,349140144,349140144,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11325-83rd-St-NW-215-Edmonton-AB-T5B-4W5/349140144_zpid/,FOR_SALE,Apartment for sale,C$,"C$136,500",136500,"11325 83rd St NW #215, Edmonton, AB T5B 4W5",11325 83rd St NW #215,Edmonton,AB,T5B4W5,False,2,2,726.0,53.56372,-113.468445,False,False,False,ForSale,For Sale (Broker),False,
317,2054065454,2054065454,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11905-69th-St-NW-Edmonton-AB-T5B-1S4/2054065454_zpid/,FOR_SALE,House for sale,C$,"C$279,000",279000,"11905 69th St NW, Edmonton, AB T5B 1S4",11905 69th St NW,Edmonton,AB,T5B1S4,False,3,1,1031.0,53.57234,-113.44731,False,False,False,ForSale,For Sale (Broker),False,
318,350431942,350431942,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/301-Clareview-Station-Dr-NW-430-Edmonton-AB-T5Y-0J4/350431942_zpid/,FOR_SALE,Apartment for sale,C$,"C$179,900",179900,"301 Clareview Station Dr NW #430, Edmonton, AB T5Y 0J4",301 Clareview Station Dr NW #430,Edmonton,AB,T5Y0J4,False,2,2,848.0,53.60231,-113.414955,False,False,False,ForSale,For Sale (Broker),False,
319,347354363,347354363,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/16409-58th-St-NW-Edmonton-AB-T5Y-0C4/347354363_zpid/,FOR_SALE,House for sale,C$,"C$407,900",407900,"16409 58th St NW, Edmonton, AB T5Y 0C4",16409 58th St NW,Edmonton,AB,T5Y0C4,False,3,3,1463.0,53.626987,-113.42573,False,False,False,ForSale,For Sale (Broker),False,
320,2056552579,2056552579,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/6007-141st-Ave-NW-Edmonton-AB-T5A-1H9/2056552579_zpid/,FOR_SALE,House for sale,C$,"C$460,000",460000,"6007 141st Ave NW, Edmonton, AB T5A 1H9",6007 141st Ave NW,Edmonton,AB,T5A1H9,False,4,2,1079.0,53.60313,-113.43385,False,False,False,ForSale,For Sale (Broker),False,
321,348112855,348112855,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/Edmonton-AB-T5A-5H3/348112855_zpid/,FOR_SALE,Apartment for sale,C$,"C$129,900",129900,"(undisclosed Address), Edmonton, AB T5A 5H3",(undisclosed Address),Edmonton,AB,T5A5H3,True,2,1,818.0,,,False,False,False,ForSale,For Sale (Broker),False,
322,349724598,349724598,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/464-Clareview-Rd-NW-Edmonton-AB-T5A-4G6/349724598_zpid/,FOR_SALE,Townhouse for sale,C$,"C$179,900",179900,"464 Clareview Rd NW, Edmonton, AB T5A 4G6",464 Clareview Rd NW,Edmonton,AB,T5A4G6,False,3,2,1091.0,53.593075,-113.38476,False,False,False,ForSale,For Sale (Broker),False,
323,2053212272,2053212272,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/13458-Fort-Rd-NW-4-Edmonton-AB-T5A-1C5/2053212272_zpid/,FOR_SALE,Apartment for sale,C$,"C$117,900",117900,"13458 Fort Rd NW #4, Edmonton, AB T5A 1C5",13458 Fort Rd NW #4,Edmonton,AB,T5A1C5,False,2,2,592.0,53.596134,-113.42621,False,False,False,ForSale,For Sale (Broker),False,
